2024-08-01 00:37:07,321 - Dataset Number: 3
2024-08-01 00:37:07,321 - Number of sampe data: None
2024-08-01 00:37:07,321 - Mode: True
2024-08-01 00:37:07,321 - Test Model lists: [1, 2, 3, 4, 11, 12, 13, 14, 15, 16]
2024-08-01 00:37:07,321 - NUM_EPOCHS: 10
2024-08-01 00:37:07,321 - BATCH_SIZE: 32
2024-08-01 00:37:07,321 - LEARNING_RATE: 0.001
2024-08-01 00:37:07,321 - Evaluating Model Type: 1
2024-08-01 01:06:31,772 - weighted Loss Type: True
2024-08-01 01:06:44,810 - Label 0 R2 Score: -0.0377, MSE: 0.0361
2024-08-01 01:06:44,810 - Label 1 R2 Score: -0.0005, MSE: 0.0005
2024-08-01 01:06:44,811 - Label 2 R2 Score: -0.0002, MSE: 0.0002
2024-08-01 01:06:44,812 - Label 3 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:44,813 - Label 4 R2 Score: -0.0016, MSE: 0.0016
2024-08-01 01:06:44,813 - Label 5 R2 Score: -0.0014, MSE: 0.0014
2024-08-01 01:06:44,814 - Label 6 R2 Score: -0.0113, MSE: 0.0092
2024-08-01 01:06:44,815 - Label 7 R2 Score: -0.0144, MSE: 0.0092
2024-08-01 01:06:44,815 - Label 8 R2 Score: -0.0034, MSE: 0.0013
2024-08-01 01:06:44,816 - Label 9 R2 Score: -0.1018, MSE: 0.0769
2024-08-01 01:06:44,817 - Label 10 R2 Score: -0.0009, MSE: 0.0009
2024-08-01 01:06:44,817 - Label 11 R2 Score: -0.0256, MSE: 0.0250
2024-08-01 01:06:44,818 - Label 12 R2 Score: -0.0251, MSE: 0.0245
2024-08-01 01:06:44,819 - Label 13 R2 Score: -0.0069, MSE: 0.0055
2024-08-01 01:06:44,819 - Label 14 R2 Score: -0.0031, MSE: 0.0016
2024-08-01 01:06:44,820 - Label 15 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:44,821 - Label 16 R2 Score: -0.0020, MSE: 0.0019
2024-08-01 01:06:44,821 - Label 17 R2 Score: -0.0193, MSE: 0.0164
2024-08-01 01:06:44,822 - Label 18 R2 Score: -0.0882, MSE: 0.0507
2024-08-01 01:06:44,823 - Label 19 R2 Score: -0.0085, MSE: 0.0083
2024-08-01 01:06:44,823 - Label 20 R2 Score: -0.0094, MSE: 0.0090
2024-08-01 01:06:44,824 - Label 21 R2 Score: -0.0005, MSE: 0.0005
